Player,Short Name,Team,Position Group,Competition,Speed,Acceleration,Agility,Endurance
Marin Pongračić,M. Pongračić,Fiorentina,Central Defender,ITA - Serie A,83.3,71.3,83.0,80.4
Rúben  Santos Gato Alves Dias,Rúben Dias,Manchester City,Central Defender,ENG - Premier League,72.5,37.1,61.0,88.1
Temitayo Olufisayo Temitayo Aina,O. Aina,Nottingham Forest,Full Back,ENG - Premier League,93.1,95.1,32.1,5.7
Nikola Milenković,N. Milenković,Nottingham Forest,Central Defender,ENG - Premier League,68.5,57.8,49.6,13.4
Nicolás Tagliafico,N. Tagliafico,Olympique Lyonnais,Full Back,FRA - Ligue 1,3.4,21.8,69.7,27.8
Kristoffer Vassbakk Ajer,K. Ajer,Brentford FC,Central Defender,ENG - Premier League,62.9,45.7,38.8,64.3
Alexander Sørloth,A. Sørloth,Atlético Madrid,Center Forward,ESP - LaLiga,71.3,51.3,49.7,45.8
Sander Gard Bolin Berge,S. Berge,Fulham,Midfield,ENG - Premier League,39.0,47.2,69.3,52.4
Yerry Fernando Mina González,Y. Mina,Cagliari,Central Defender,ITA - Serie A,1.0,25.4,14.3,3.0
Idrissa Gana Gueye,I. Gueye,Everton,Midfield,ENG - Premier League,52.2,37.9,67.6,22.6
George Johnston,G. Johnston,Bolton Wanderers,Central Defender,ENG - League One,27.4,50.7,50.2,66.1
Nat Phillips,N. Phillips,West Bromwich Albion,Central Defender,ENG - Championship,28.6,28.9,42.2,73.5
Herbie Kane,H. Kane,Huddersfield Town,Midfield,ENG - League One,6.9,44.5,12.1,22.5
Yan Dhanda,Y. Dhanda,Dundee FC,Midfield,SCO - Premiership,39.7,71.2,45.4,78.0
Liam Millar,L. Millar,Hull City,Wide Attacker,ENG - Championship,88.4,36.5,79.2,51.3
Reece James,R. James,Chelsea,Full Back,ENG - Premier League,84.7,66.0,40.2,4.4
Callum Hudson-Odoi,C. Hudson-Odoi,Nottingham Forest,Wide Attacker,ENG - Premier League,39.3,44.3,20.5,25.7
George McEachran,G. McEachran,Grimsby Town FC,Midfield,ENG - League Two,64.8,55.9,50.3,17.5
José Diogo Dalot Teixeira,Diogo Dalot,Manchester United,Full Back,ENG - Premier League,37.9,64.1,31.4,35.3
Ricardo Domingos Barbosa Pereira,Ricardo Pereira,Leicester City,Full Back,ENG - Championship,13.0,20.3,21.0,22.0
Hamza Choudhury,H. Choudhury,Leicester City,Full Back,ENG - Championship,36.1,36.9,12.6,14.1
Ibrahim Sangaré,I. Sangaré,Nottingham Forest,Midfield,ENG - Premier League,67.3,79.6,67.9,45.2
Jamie Sterry,J. Sterry,Doncaster Rovers FC,Full Back,ENG - League One,45.9,71.8,24.1,6.5
Juan Marcos Foyth,J. Foyth,Villarreal CF,Central Defender,ESP - LaLiga,24.7,56.6,39.1,34.4
Kyle Leonardus Walker-Peters,K. Walker-Peters,West Ham United,Full Back,ENG - Premier League,14.2,25.7,41.2,15.6
Morgan Gibbs-White,M. Gibbs-White,Nottingham Forest,Midfield,ENG - Premier League,78.8,82.3,79.2,53.7
Declan Rice,D. Rice,Arsenal Football Club,Midfield,ENG - Premier League,83.0,66.3,61.2,49.1
Konstantinos Mavropanos,K. Mavropanos,West Ham United,Central Defender,ENG - Premier League,76.2,62.9,36.8,2.6
Jean-Clair Todibo,J. Todibo,West Ham United,Central Defender,ENG - Premier League,97.7,79.2,67.8,10.9
Jordan Lefort,J. Lefort,Angers SCO,Central Defender,FRA - Ligue 1,26.6,39.3,75.0,66.9
Aurélien Tchouaméni,A. Tchouaméni,Real Madrid CF,Midfield,ESP - LaLiga,39.9,38.7,30.2,30.6
Toma Bašić,T. Bašić,Lazio,Midfield,ITA - Serie A,83.5,41.8,70.7,92.7
Youssouf Fofana,Y. Fofana,Milan,Midfield,ITA - Serie A,92.7,70.2,30.2,23.6
Ludovic Ajorque,L. Ajorque,Stade Brestois 29,Center Forward,FRA - Ligue 1,31.2,10.3,56.1,20.8
Jonathan Gradit,J. Gradit,RC Lens,Central Defender,FRA - Ligue 1,16.8,22.0,28.3,8.1
Sofiane Diop,S. Diop,OGC Nice,Midfield,FRA - Ligue 1,53.5,34.5,67.9,93.2
Jonathan Castro Otto,Jonny Otto,Deportivo Alavés,Full Back,ESP - LaLiga,12.0,15.5,62.5,32.0
Richarlison de Andrade,Richarlison,Tottenham Hotspur,Center Forward,ENG - Premier League,24.0,62.5,70.9,61.8
Antoine Bernede,A. Bernede,Hellas Verona,Midfield,ITA - Serie A,69.3,62.8,76.1,70.3
Federico Santiago Valverde Dipetta,F. Valverde,Real Madrid CF,Full Back,ESP - LaLiga,95.0,60.0,14.4,12.1
Cyrus Christie,C. Christie,Bolton Wanderers,Full Back,ENG - League One,32.3,28.7,9.0,32.4
Kouassi Ryan Sessegnon,R. Sessegnon,Fulham,Full Back,ENG - Premier League,57.3,38.6,87.2,77.2
Bobby Armani De Cordova-Reid,B. De Cordova-Reid,Leicester City,Midfield,ENG - Championship,55.4,27.0,50.8,87.6
Josh Murphy,J. Murphy,Portsmouth,Wide Attacker,ENG - Championship,89.4,81.7,16.7,23.6
Mehmet Zeki Çelik,Z. Çelik,Roma,Full Back,ITA - Serie A,61.5,69.5,81.3,94.0
Mahdi Camara,M. Camara,Stade Rennais FC,Midfield,FRA - Ligue 1,71.8,53.3,58.4,83.1
William Saliba,W. Saliba,Arsenal Football Club,Central Defender,ENG - Premier League,78.4,84.6,61.7,43.2
Aaron Wan-Bissaka,A. Wan-Bissaka,West Ham United,Full Back,ENG - Premier League,74.1,72.2,43.2,24.7
Georgiy  Tsitaishvili,G. Tsitaishvili,FC Metz,Wide Attacker,FRA - Ligue 1,84.9,62.9,66.1,59.8
Michel Aebischer,M. Aebischer,Pisa Sporting Club,Midfield,ITA - Serie A,53.9,59.7,14.0,29.3
Thibault De Smet,T. De Smet,Paris FC,Full Back,FRA - Ligue 1,17.5,13.5,71.9,67.1
Jonathan Christian David,J. David,Juventus,Center Forward,ITA - Serie A,23.7,36.9,85.0,98.7
Will Hughes,W. Hughes,Crystal Palace,Midfield,ENG - Premier League,9.7,26.2,71.3,68.7
Suliaman Borbor Kaikai,S. Kaikai,Cambridge United,Midfield,ENG - League Two,92.5,82.1,31.8,28.6
Suliaman Borbor Kaikai,S. Kaikai,Cambridge United,Wide Attacker,ENG - League Two,15.9,35.6,9.7,39.4
Sean Longstaff,S. Longstaff,Leeds United,Midfield,ENG - Premier League,66.8,19.3,41.2,84.7
Romain Del Castillo,R. Del Castillo,Stade Brestois 29,Wide Attacker,FRA - Ligue 1,18.2,12.3,58.7,47.4
Kadeem Harris, Kadeem Harris,Salford City FC,Full Back,ENG - League Two,89.3,84.1,44.7,10.9
Yann-Alexandre Gboho Gnantin,Y. Gboho,Toulouse FC,Wide Attacker,FRA - Ligue 1,15.1,54.7,74.5,76.0
Jonathan Tah,J. Tah,FC Bayern Munchen,Central Defender,GER - Bundesliga,69.5,61.2,61.9,94.0
Oliver Norwood,O. Norwood,Stockport County FC,Midfield,ENG - League One,2.2,32.5,5.2,20.1
Oliver Norwood,O. Norwood,Stockport County FC,Midfield,ENG - League One,2.4,33.0,5.4,23.8
George Saville,G. Saville,Luton Town,Midfield,ENG - League One,0.7,32.3,16.2,19.8
Karol Mets,K. Mets,FC St. Pauli,Central Defender,GER - Bundesliga,17.3,41.4,74.5,88.1
Dimitrios Giannoulis,D. Giannoulis,FC Augsburg,Full Back,GER - Bundesliga,95.5,76.3,72.6,68.3
James  Tarkowski,J. Tarkowski,Everton,Central Defender,ENG - Premier League,44.8,24.3,37.6,19.7
Ruslan Malinovskyi,R. Malinovskyi,Genoa,Midfield,ITA - Serie A,23.8,20.0,43.0,44.0
Viktor Tsygankov,V. Tsygankov,Girona FC,Wide Attacker,ESP - LaLiga,10.9,24.3,63.5,93.6
Martin Valjent,M. Valjent,RCD Mallorca,Central Defender,ESP - LaLiga,57.2,75.8,87.1,31.0
Chris Mepham,C. Mepham,West Bromwich Albion,Central Defender,ENG - Championship,36.6,27.9,47.5,58.7
Bryan Mbeumo,B. Mbeumo,Manchester United,Midfield,ENG - Premier League,98.8,98.0,88.5,24.2
Ryan Giles,R. Giles,Hull City,Full Back,ENG - Championship,90.4,69.1,36.0,15.7
Elliot Watt,E. Watt,Motherwell,Midfield,SCO - Premiership,2.6,17.0,35.5,81.6
Jack Stephens,J. Stephens,Southampton,Central Defender,ENG - Championship,62.9,64.3,36.9,19.4
Lautaro Javier Martínez,L. Martínez,Inter Milan,Center Forward,ITA - Serie A,15.4,34.7,70.9,51.6
Carles Aleñà Castillo,Carles Aleñà,Deportivo Alavés,Wide Attacker,ESP - LaLiga,2.6,11.2,74.9,86.3
Cody Gakpo,C. Gakpo,Liverpool Football Club,Wide Attacker,ENG - Premier League,52.3,62.0,31.4,27.6
Éder Gabriel Militão,Éder Militão,Real Madrid CF,Central Defender,ESP - LaLiga,98.7,85.3,41.7,15.8
Diogo Filipe Monteiro Pinto Leite,Diogo Leite,FC Union Berlin,Central Defender,GER - Bundesliga,14.4,37.7,94.3,99.3
Arnaut Danjuma Adam Groeneveld,A. Danjuma,Valencia CF,Wide Attacker,ESP - LaLiga,88.7,60.7,34.1,52.1
Wilson Isidor,W. Isidor,Sunderland,Center Forward,ENG - Premier League,89.9,73.9,52.3,52.9
Lucas Ariel Boyé,L. Boyé,Deportivo Alavés,Center Forward,ESP - LaLiga,18.7,50.3,89.6,54.7
Sergio Gómez Martín,Sergio Gómez,Real Sociedad,Full Back,ESP - LaLiga,62.7,83.8,68.1,29.0
Joelinton Cassio Apolinário de Lira,Joelinton,Newcastle United,Midfield,ENG - Premier League,70.3,66.3,41.6,37.9
Luca Pellegrini,L. Pellegrini,Lazio,Full Back,ITA - Serie A,94.9,29.6,18.2,17.6
Nicolò Zaniolo,N. Zaniolo,Udinese,Center Forward,ITA - Serie A,23.5,68.5,57.8,85.7
Ferrán Torres García,Ferrán Torres,FC Barcelona,Center Forward,ESP - LaLiga,51.7,80.1,26.7,10.8
Leonardo Spinazzola,L. Spinazzola,Napoli,Full Back,ITA - Serie A,79.7,65.7,35.0,72.2
Moise Bioty Kean,M. Kean,Fiorentina,Center Forward,ITA - Serie A,83.2,83.2,29.0,0.8
Obite Evan Ndicka,E. Ndicka,Roma,Central Defender,ITA - Serie A,94.5,68.3,55.8,38.1
Lucas Torró Marset,Lucas Torró,CA Osasuna,Midfield,ESP - LaLiga,11.0,37.0,15.8,61.2
Vladimír Coufal,V. Coufal,TSG 1899 Hoffenheim,Full Back,GER - Bundesliga,40.7,36.1,78.9,97.2
Nayef Aguerd,N. Aguerd,Olympique de Marseille,Central Defender,FRA - Ligue 1,88.7,77.5,73.6,59.6
Hassane Kamara,H. Kamara,Udinese,Full Back,ITA - Serie A,72.4,89.0,77.3,56.2
Jaka Bijol,J. Bijol,Leeds United,Central Defender,ENG - Premier League,44.6,29.2,31.4,42.0
Nikola Vlašić,N. Vlašić,Torino,Midfield,ITA - Serie A,91.4,79.1,70.5,64.5
Rafael Alexandre Conceição Leão,Rafael Leão,Milan,Center Forward,ITA - Serie A,66.8,65.0,24.2,18.5
Gabriel dos Santos Magalhães,Gabriel Magalhaes,Arsenal Football Club,Central Defender,ENG - Premier League,57.2,56.4,65.3,39.6
Oliver Skipp,O. Skipp,Leicester City,Midfield,ENG - Championship,77.8,44.9,25.3,13.8
Fabián Ruiz Peña,Fabián Ruiz,Paris Saint-Germain,Midfield,FRA - Ligue 1,28.1,20.7,13.1,50.1
Loïc Nego,L. Nego,Le Havre AC,Full Back,FRA - Ligue 1,2.1,14.3,24.1,25.3
Fraser Horsfall,F. Horsfall,Blackpool,Central Defender,ENG - League One,1.4,25.8,3.4,8.5
Emile Smith Rowe,E. Smith Rowe,Fulham,Midfield,ENG - Premier League,59.0,46.6,60.0,60.1
Odsonne Édouard,O. Édouard,RC Lens,Center Forward,FRA - Ligue 1,61.6,31.6,43.5,52.6
Maxence Lacroix,M. Lacroix,Crystal Palace,Central Defender,ENG - Premier League,98.7,89.0,61.1,35.1
Ermedin Demirović,E. Demirović,VfB Stuttgart,Center Forward,GER - Bundesliga,14.8,25.6,27.4,47.1
Habib Mouhamadou Diallo,H. Diallo,FC Metz,Center Forward,FRA - Ligue 1,67.9,46.6,40.4,23.1
Gauthier Hein,G. Hein,FC Metz,Midfield,FRA - Ligue 1,69.6,60.9,27.4,42.2
John Egan,J. Egan,Hull City,Central Defender,ENG - Championship,35.5,22.1,33.4,7.0
Saša Lukić,S. Lukić,Fulham,Midfield,ENG - Premier League,56.2,76.7,80.7,71.5
Oliver McBurnie,O. McBurnie,Hull City,Center Forward,ENG - Championship,8.6,17.7,45.7,29.9
Laurent Abergel,L. Abergel,FC Lorient,Midfield,FRA - Ligue 1,15.0,40.1,43.4,40.0
Lucien Jefferson Agoumé,L. Agoumé,Sevilla FC,Midfield,ESP - LaLiga,6.5,34.9,31.7,9.9
Haris Belkebla,H. Belkebla,Angers SCO,Midfield,FRA - Ligue 1,4.7,36.7,68.7,92.6
Brendan Chardonnet,B. Chardonnet,Stade Brestois 29,Central Defender,FRA - Ligue 1,13.2,27.4,12.1,2.0
Boulaye Dia,B. Dia,Lazio,Center Forward,ITA - Serie A,41.9,33.1,46.2,92.9
Vitaliy Mykolenko,V. Mykolenko,Everton,Full Back,ENG - Premier League,39.9,58.9,83.0,59.2
Carlens Arcus,C. Arcus,Angers SCO,Full Back,FRA - Ligue 1,26.9,32.9,59.0,75.2
Pape Alassane Gueye,P. Gueye,Villarreal CF,Midfield,ESP - LaLiga,6.3,38.8,18.0,36.3
Joe Powell,J. Powell,Rotherham United,Midfield,ENG - League One,64.6,52.8,60.1,37.3
Conor Coventry,C. Coventry,Charlton Athletic,Midfield,ENG - Championship,12.2,16.9,59.3,69.1
Conor Coventry,C. Coventry,Charlton Athletic,Midfield,ENG - Championship,10.6,35.4,70.6,66.4
Han-Noah Massengo,H. Massengo,FC Augsburg,Midfield,GER - Bundesliga,67.5,92.1,52.0,57.0
Han-Noah Massengo,H. Massengo,FC Augsburg,Midfield,GER - Bundesliga,67.6,43.3,28.0,58.2
Juan Miranda González,Juan Miranda,Bologna,Full Back,ITA - Serie A,25.7,38.4,55.8,68.8
Japhet Tanganga,J. Tanganga,Sheffield United,Central Defender,ENG - Championship,9.4,28.3,36.6,15.6
Sebastiano Luperto,S. Luperto,Cagliari,Central Defender,ITA - Serie A,40.7,55.0,31.4,8.5
Ryan Gravenberch,R. Gravenberch,Liverpool Football Club,Midfield,ENG - Premier League,83.6,73.3,31.0,4.7
Jurgen Ekkelenkamp,J. Ekkelenkamp,Udinese,Midfield,ITA - Serie A,77.0,39.6,80.9,83.0
Sven Botman,S. Botman,Newcastle United,Central Defender,ENG - Premier League,64.2,20.7,36.2,68.9
Torbjørn Lysaker Heggem,T. Heggem,Bologna,Central Defender,ITA - Serie A,68.1,57.1,79.3,84.1
Torbjørn Lysaker Heggem,T. Heggem,Bologna,Central Defender,ITA - Serie A,56.3,26.7,70.8,80.2
Rasmus Nicolaisen,R. Nicolaisen,Toulouse FC,Central Defender,FRA - Ligue 1,41.3,45.2,66.5,82.0
Jens-Lys Michel Cajuste,J. Cajuste,Ipswich Town,Midfield,ENG - Championship,50.0,52.6,24.6,32.7
Nicolas Martin Hautorp Madsen,N. Madsen,Queens Park Rangers,Midfield,ENG - Championship,23.3,41.4,8.3,11.9
Nicolas Martin Hautorp Madsen,N. Madsen,Queens Park Rangers,Midfield,ENG - Championship,67.0,69.1,35.9,14.6
Lovro Majer,L. Majer,VfL Wolfsburg,Midfield,GER - Bundesliga,51.5,51.8,74.1,99.5
Amir Rrahmani,A. Rrahmani,Napoli,Central Defender,ITA - Serie A,13.1,33.3,48.2,74.2
Nikola Moro,N. Moro,Bologna,Midfield,ITA - Serie A,51.7,31.4,19.7,21.8
Dominik Szoboszlai,D. Szoboszlai,Liverpool Football Club,Midfield,ENG - Premier League,96.6,83.0,70.4,40.9
Romano Schmid,R. Schmid,SV Werder Bremen,Midfield,GER - Bundesliga,88.6,84.1,51.0,39.8
Lukas Fadinger,L. Fadinger,Motherwell,Midfield,SCO - Premiership,53.8,48.5,50.4,81.2
Robbie Deas,R. Deas,Kilmarnock,Central Defender,SCO - Premiership,13.4,35.5,77.4,51.8
Stephen Welsh,S. Welsh,Motherwell,Central Defender,SCO - Premiership,36.2,41.4,15.2,12.6
Mikey Johnston,M. Johnston,West Bromwich Albion,Wide Attacker,ENG - Championship,67.3,66.6,46.5,49.1
Mikey Johnston,M. Johnston,West Bromwich Albion,Wide Attacker,ENG - Championship,64.1,44.7,12.4,19.8
Ferdi Kadıoğlu,F. Kadıoğlu,Brighton and Hove Albion,Full Back,ENG - Premier League,81.9,78.1,59.7,55.9
Mousa Mohammad Suleiman Al Tamari,Mousa Al Tamari,Stade Rennais FC,Full Back,FRA - Ligue 1,97.2,81.3,82.8,32.9
Alejandro Moreno Lopera,Álex Moreno,Girona FC,Full Back,ESP - LaLiga,76.6,81.1,80.9,64.0
Santiago Comesaña Veiga,Santi Comesaña,Villarreal CF,Midfield,ESP - LaLiga,71.5,26.8,72.8,85.0
Gorka Guruzeta Rodríguez,Gorka Guruzeta,Athletic Club de Bilbao,Center Forward,ESP - LaLiga,3.9,13.4,76.9,67.5
Daniel Vivian Moreno,Dani Vivian,Athletic Club de Bilbao,Central Defender,ESP - LaLiga,75.8,68.3,84.4,67.0
Igor Zubeldía Elorza,Igor Zubeldía,Real Sociedad,Central Defender,ESP - LaLiga,6.4,34.1,48.0,49.5
Igor Zubeldía Elorza,Igor Zubeldía,Real Sociedad,Central Defender,ESP - LaLiga,48.0,78.0,65.8,62.6
Brais Méndez Portela,Brais Méndez,Real Sociedad,Midfield,ESP - LaLiga,16.0,31.8,35.9,37.0
Borja Iglesias Quintas,Borja Iglesias,RC Celta de Vigo,Center Forward,ESP - LaLiga,17.7,23.7,56.3,54.1
Marc Roca Junqué,Marc Roca,Real Betis Balompié,Midfield,ESP - LaLiga,13.6,28.6,14.8,43.1
Fernando Calero Villa,Fernando Calero,RCD Espanyol,Central Defender,ESP - LaLiga,39.9,35.9,65.5,63.4
Djené Dakonam Ortega,Djené,Getafe CF,Central Defender,ESP - LaLiga,47.3,69.4,51.9,12.6
Leandro Daniel Cabrera Sasía,L. Cabrera,RCD Espanyol,Central Defender,ESP - LaLiga,46.3,65.2,34.4,9.5
Hugo Duro Perales,Hugo Duro,Valencia CF,Center Forward,ESP - LaLiga,31.7,18.3,83.6,61.0
Enrique García Martínez,Kike García,RCD Espanyol,Center Forward,ESP - LaLiga,10.5,16.7,56.9,96.9
Marc Cucurella Saseta,Marc Cucurella,Chelsea,Full Back,ENG - Premier League,55.1,69.3,74.3,31.7
Pere Milla Peña,Pere Milla,RCD Espanyol,Wide Attacker,ESP - LaLiga,14.7,14.5,78.9,97.5
Aleix García Serrano,Aleix García,Bayer 04 Leverkusen,Midfield,GER - Bundesliga,55.1,47.8,34.3,63.4
Pedro Antonio Porro Sauceda,Pedro Porro,Tottenham Hotspur,Full Back,ENG - Premier League,76.9,89.8,75.9,26.0
Seung-Ho Paik,Paik Seung-Ho,Birmingham City,Midfield,ENG - Championship,35.2,23.7,25.6,21.8
Juan Camilo Hernández Suárez,C. Hernández,Real Betis Balompié,Center Forward,ESP - LaLiga,72.6,78.0,65.0,32.7
Yan Valery,Y. Valery,Sheffield Wednesday,Midfield,ENG - Championship,32.9,43.4,46.6,53.0
Josh Knight,J. Knight,Portsmouth,Central Defender,ENG - Championship,41.9,28.9,18.9,61.6
Dominic Iorfa,D. Iorfa,Sheffield Wednesday,Central Defender,ENG - Championship,72.8,63.1,26.2,32.9
Ben Wilmot,B. Wilmot,Stoke City,Central Defender,ENG - Championship,49.4,50.0,47.3,68.1
Viktor Gyökeres,V. Gyökeres,Arsenal Football Club,Center Forward,ENG - Premier League,86.9,72.9,94.5,69.5
Aaron Connolly,A. Connolly,Leyton Orient FC,Center Forward,ENG - League One,72.3,66.6,46.3,12.0
Jack Simpson,J. Simpson,Leyton Orient FC,Central Defender,ENG - League One,48.3,58.9,74.4,85.2
Nathan Nnamdi Ofoborh,N. Ofoborh,Barnet FC,Midfield,ENG - League Two,69.6,37.7,17.1,5.0
Riccardo Orsolini,R. Orsolini,Bologna,Wide Attacker,ITA - Serie A,32.0,39.9,47.5,42.6
Dávid Hancko,D. Hancko,Atlético Madrid,Central Defender,ESP - LaLiga,90.6,53.0,54.3,71.1
Pedro Lomba Neto,Pedro Neto,Chelsea,Wide Attacker,ENG - Premier League,89.7,72.5,47.2,28.0
Svante Ingelsson,S. Ingelsson,Sheffield Wednesday,Midfield,ENG - Championship,96.2,72.9,51.7,29.2
Alejandro Berenguer Remiro,Álex Berenguer,Athletic Club de Bilbao,Wide Attacker,ESP - LaLiga,43.0,26.9,66.2,64.3
Gleysson Bremer Silva Nascimento,Bremer,Juventus,Central Defender,ITA - Serie A,49.6,32.9,51.1,59.8
Giovanni Di Lorenzo,G. Di Lorenzo,Napoli,Full Back,ITA - Serie A,21.0,9.8,34.3,53.0
Cristian Gabriel Romero,C. Romero,Tottenham Hotspur,Central Defender,ENG - Premier League,82.0,45.3,44.3,2.7
Jens Odgaard,J. Odgaard,Bologna,Midfield,ITA - Serie A,45.9,68.4,49.2,22.4
Manuel Locatelli,M. Locatelli,Juventus,Midfield,ITA - Serie A,10.4,25.9,20.0,63.6
Andrea Pinamonti,A. Pinamonti,Sassuolo,Center Forward,ITA - Serie A,31.2,50.7,28.1,13.1
Mikael Egill Ellertsson,M. Ellertsson,Genoa,Midfield,ITA - Serie A,99.5,79.1,70.4,23.6
Georginio  Rutter,G. Rutter,Brighton and Hove Albion,Midfield,ENG - Premier League,96.1,71.6,44.8,38.7
Wesley Fofana,W. Fofana,Chelsea,Central Defender,ENG - Premier League,89.7,68.8,62.3,7.4
Ritsu Doan,R. Doan,Eintracht Frankfurt,Wide Attacker,GER - Bundesliga,5.7,55.5,60.8,72.8
Jeff Chabot,J. Chabot,VfB Stuttgart,Central Defender,GER - Bundesliga,13.0,10.1,38.8,60.7
Danilho Doekhi,D. Doekhi,FC Union Berlin,Central Defender,GER - Bundesliga,29.1,43.9,63.6,59.7
Wouter Burger,W. Burger,TSG 1899 Hoffenheim,Midfield,GER - Bundesliga,60.1,62.3,56.6,95.6
Gustavo Hamer,G. Hamer,Sheffield United,Wide Attacker,ENG - Championship,31.3,12.4,22.7,25.5
Gianluca Scamacca,G. Scamacca,Atalanta,Center Forward,ITA - Serie A,2.8,23.1,5.1,8.0
Zian Flemming,Z. Flemming,Burnley,Center Forward,ENG - Premier League,21.8,43.6,24.1,61.4
Sepp van den Berg,S. van den Berg,Brentford FC,Central Defender,ENG - Premier League,52.4,43.7,45.3,55.9
Albert-Mboyo Sambi Lokonga,A. Sambi Lokonga,Hamburger SV,Midfield,GER - Bundesliga,12.9,34.1,27.1,87.3
Alexis Saelemaekers,A. Saelemaekers,Milan,Full Back,ITA - Serie A,33.3,59.4,80.0,77.3
Mbwana Ally Samatta,M. Samatta,Le Havre AC,Center Forward,FRA - Ligue 1,35.5,25.7,54.6,51.5
Jhon Janer Lucumí Bonilla,J. Lucumí,Bologna,Central Defender,ITA - Serie A,85.0,67.0,53.4,13.8
Eric Smith,E. Smith,FC St. Pauli,Central Defender,GER - Bundesliga,57.7,28.5,54.8,79.4
Daichi Kamada,D. Kamada,Crystal Palace,Midfield,ENG - Premier League,54.6,27.7,69.9,53.8
Wout Faes,W. Faes,Leicester City,Central Defender,ENG - Championship,9.8,34.1,21.8,21.0
Montassar Talbi,M. Talbi,FC Lorient,Central Defender,FRA - Ligue 1,37.1,34.9,76.4,57.1
Vedat Muriqi,V. Muriqi,RCD Mallorca,Center Forward,ESP - LaLiga,13.2,40.4,20.3,21.3
Anastasios Douvikas,A. Douvikas,Como 1907,Center Forward,ITA - Serie A,59.9,84.9,55.9,37.1
Reinildo Isnard Mandava,Reinildo,Sunderland,Full Back,ENG - Premier League,76.1,40.9,14.8,1.1
Domilson Cordeiro dos Santos,Dodô,Fiorentina,Full Back,ITA - Serie A,86.2,89.3,50.2,31.6
Domilson Cordeiro dos Santos,Dodô,Fiorentina,Full Back,ITA - Serie A,87.5,97.8,73.1,37.8
Marcos do Nascimento Teixeira,Marcão,Sevilla FC,Central Defender,ESP - LaLiga,8.6,41.3,53.9,8.0
Ibrahima Konaté,I. Konaté,Liverpool Football Club,Central Defender,ENG - Premier League,96.8,95.7,65.3,9.4
Glenn Middleton,G. Middleton,Doncaster Rovers FC,Wide Attacker,ENG - League One,47.7,41.2,33.0,49.2
Jørgen Strand Larsen,J. Strand Larsen,Wolverhampton Wanderers,Center Forward,ENG - Premier League,80.1,34.1,34.9,22.5
Erling Braut Haaland,E. Haaland,Manchester City,Center Forward,ENG - Premier League,96.4,91.8,63.2,11.8
Morten Frendrup,M. Frendrup,Genoa,Midfield,ITA - Serie A,27.1,13.4,95.0,77.5
Victor Nelsson,V. Nelsson,Hellas Verona,Central Defender,ITA - Serie A,59.9,28.5,42.2,6.7
Mikkel Damsgaard,M. Damsgaard,Brentford FC,Midfield,ENG - Premier League,71.5,33.6,80.7,58.4
Martin Frese,M. Frese,Hellas Verona,Full Back,ITA - Serie A,48.7,43.3,49.3,81.1
Mohammed Kudus,M. Kudus,Tottenham Hotspur,Wide Attacker,ENG - Premier League,74.2,86.5,71.9,3.8
Jesper Karlström,J. Karlström,Udinese,Midfield,ITA - Serie A,41.0,78.7,67.3,67.5
Domagoj Bradarić,D. Bradarić,Hellas Verona,Full Back,ITA - Serie A,54.4,56.5,89.3,86.0
Ilmari Niskanen,I. Niskanen,Exeter City FC,Full Back,ENG - League One,90.6,57.5,72.2,96.1
Fraser Murray,F. Murray,Wigan Athletic,Full Back,ENG - League One,47.5,56.8,87.1,83.4
Dominic Ball,D. Ball,Cambridge United,Midfield,ENG - League Two,69.1,57.2,36.4,3.1
Dean Campbell,D. Campbell,Northampton Town FC,Midfield,ENG - League One,39.2,42.1,50.6,43.8
Bruce Anderson,B. Anderson,Kilmarnock,Center Forward,SCO - Premiership,52.1,53.3,55.2,56.1
Max Lowe,M. Lowe,Sheffield Wednesday,Central Defender,ENG - Championship,40.0,81.9,78.7,81.4
Miro Max Maria Muheim,M. Muheim,Hamburger SV,Full Back,GER - Bundesliga,26.1,37.4,46.8,66.7
Filip Krastev,F. Krastev,Oxford United,Wide Attacker,ENG - Championship,3.5,32.8,53.0,61.5
Valentino Lazaro,V. Lazaro,Torino,Full Back,ITA - Serie A,36.3,46.8,54.3,74.3
Valentino Lazaro,V. Lazaro,Torino,Full Back,ITA - Serie A,17.2,46.6,69.2,63.6
Derrick  Williams,D. Williams,Reading,Central Defender,ENG - League One,12.1,55.9,32.1,35.2
Joe Rodon,J. Rodon,Leeds United,Central Defender,ENG - Premier League,98.1,54.3,61.3,65.9
Ylber Ramadani,Y. Ramadani,Lecce,Midfield,ITA - Serie A,14.4,34.1,26.8,75.6
 Joshua Thomas Sargent,Josh Sargent,Norwich City,Center Forward,ENG - Championship,75.7,65.1,68.3,35.4
Haissem Hassan,H. Hassan,Real Oviedo,Wide Attacker,ESP - LaLiga,38.1,59.6,48.4,71.6
Matthieu Udol,M. Udol,RC Lens,Full Back,FRA - Ligue 1,80.5,79.7,80.7,90.6
Hugo Magnetti,H. Magnetti,Stade Brestois 29,Midfield,FRA - Ligue 1,1.5,41.9,50.4,39.8
Armand Laurienté,A. Laurienté,Sassuolo,Wide Attacker,ITA - Serie A,84.7,95.3,41.6,5.7
Billy Sharp,B. Sharp,Doncaster Rovers FC,Center Forward,ENG - League One,19.2,31.9,28.8,18.5
David McGoldrick,D. McGoldrick,Barnsley FC,Center Forward,ENG - League One,51.3,29.6,32.5,41.6
