"Player";"Short Name";"Player ID";"Birthdate";"Team";"Team ID";"Competition";"Competition ID";"Season";"Season ID";"Position";"Position Group";"Minutes";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"PSV-99";"TOP 5 PSV-99";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"TOP 3 Time to HSR";"TOP 3 Time to HSR post-COD";"Explosive Acceleration to Sprint Count";"TOP 3 Time to Sprint";"TOP 3 Time to Sprint post-COD";"Change of Direction Count";"TOP 3 Time to 505 around 90";"TOP 3 Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90"
"Nemanja Matić";"N. Matić";"7910";"1988-08-01";"Sassuolo";"158";"ITA - Serie A";"5";"2025/2026";"129";"DM";"Midfield";"96.82";"22";"0";"11164.73";"115.32";"1509.5";"432.27";"34.45";"59.14";"3.32";"491.41";"37.77";"26.51";"28.32";"90.95";"2.91";"79.77";"9.27";"1.32";"0.81";"0.87";"0.09";"null";"null";"26.91";"1.92";"2.73";"10378.56";"115.32";"1403.21";"401.83";"32.03";"54.97";"3.08";"456.81";"35.11";"84.55";"2.7";"74.16";"8.62";"1.23";"0.08";"25.01"
"Nico Elvedi";"N. Elvedi";"7965";"1996-09-30";"Borussia Mönchengladbach";"114";"GER - Bundesliga";"6";"2025/2026";"129";"CB";"Central Defender";"100.13";"14";"0";"10488.14";"104.74";"1181.79";"364.0";"37.79";"104.14";"6.57";"468.14";"44.36";"29.01";"30.94";"113.0";"4.71";"97.57";"11.79";"3.0";"0.69";"0.84";"1.0";"1.38";"1.63";"24.14";"2.06";"2.78";"9426.65";"104.74";"1062.18";"327.16";"33.96";"93.6";"5.91";"420.76";"39.87";"101.56";"4.24";"87.7";"10.59";"2.7";"0.9";"21.7"
"Nicolò Barella";"N. Barella";"8042";"1997-02-07";"Inter Milan";"145";"ITA - Serie A";"5";"2025/2026";"129";"RM";"Midfield";"82.2";"15";"0";"10372.93";"126.19";"1818.4";"637.73";"49.87";"162.13";"8.33";"799.87";"58.2";"28.07";"29.36";"90.53";"3.4";"77.73";"10.4";"2.33";"0.73";"0.76";"0.87";"1.49";"1.67";"37.87";"1.85";"2.75";"11357.23";"126.19";"1990.95";"698.25";"54.6";"177.52";"9.12";"875.77";"63.72";"99.12";"3.72";"85.11";"11.39";"2.55";"0.95";"41.46"
"Olivier Giroud";"O. Giroud";"8206";"1986-09-30";"LOSC Lille";"78";"FRA - Ligue 1";"3";"2025/2026";"129";"CF";"Center Forward";"82.91";"17";"0";"8998.0";"108.53";"1221.24";"595.18";"57.88";"190.18";"11.12";"785.35";"69.0";"28.22";"29.04";"102.53";"6.53";"80.76";"19.94";"4.29";"0.82";"0.86";"0.71";"1.65";"null";"31.65";"1.93";"2.97";"9767.6";"108.53";"1325.69";"646.08";"62.83";"206.44";"12.07";"852.52";"74.9";"111.3";"7.09";"87.67";"21.65";"4.66";"0.77";"34.35"
"Pablo Marí Villar";"Pablo Marí";"8324";"1993-08-31";"Fiorentina";"138";"ITA - Serie A";"5";"2025/2026";"129";"CB";"Central Defender";"94.39";"9";"0";"9237.0";"97.86";"983.89";"282.0";"29.0";"97.0";"4.78";"379.0";"33.78";"28.36";"29.08";"102.44";"5.33";"80.67";"11.22";"2.44";"0.73";"0.82";"0.89";"1.61";"null";"22.44";"2.04";"3.26";"8807.67";"97.86";"938.16";"268.89";"27.65";"92.49";"4.56";"361.38";"32.21";"97.68";"5.09";"76.92";"10.7";"2.33";"0.85";"21.4"
"Patrick Roberts";"P. Roberts";"8425";"1997-02-05";"Birmingham City";"51";"ENG - Championship";"31";"2025/2026";"129";"RW";"Wide Attacker";"84.22";"21";"0";"9645.1";"114.52";"1504.67";"645.24";"55.62";"148.33";"9.14";"793.57";"64.76";"27.49";"29.0";"104.48";"6.24";"83.19";"15.0";"4.33";"0.68";"0.69";"1.19";"1.44";"1.54";"43.24";"1.81";"2.76";"10306.47";"114.52";"1607.84";"689.48";"59.43";"158.5";"9.77";"847.99";"69.2";"111.64";"6.67";"88.89";"16.03";"4.63";"1.27";"46.2"
"Paul McGinn";"P. McGinn";"8471";"1990-10-22";"Motherwell";"243";"SCO - Premiership";"18";"2025/2026";"129";"LCB";"Central Defender";"96.29";"9";"0";"10387.67";"107.88";"1334.44";"390.89";"36.22";"92.56";"6.11";"483.44";"42.33";"27.86";"28.4";"117.56";"5.0";"92.56";"11.56";"3.22";"0.74";"null";"0.33";"null";"null";"20.11";"2.15";"null";"9709.41";"107.88";"1247.31";"365.37";"33.86";"86.51";"5.71";"451.88";"39.57";"109.88";"4.67";"86.51";"10.8";"3.01";"0.31";"18.8"
"Paul McGinn";"P. McGinn";"8471";"1990-10-22";"Motherwell";"243";"SCO - Premiership";"18";"2025/2026";"129";"RCB";"Central Defender";"97.34";"12";"0";"10369.58";"106.52";"1286.83";"345.17";"33.08";"83.75";"4.5";"428.92";"37.58";"28.33";"29.76";"115.83";"4.08";"97.92";"9.33";"2.58";"0.69";"0.91";"0.92";"1.77";"null";"17.0";"2.05";"3.3";"9587.22";"106.52";"1189.74";"319.12";"30.59";"77.43";"4.16";"396.56";"34.75";"107.09";"3.78";"90.53";"8.63";"2.39";"0.85";"15.72"
"Pedro Bigas Rigo";"Pedro Bigas";"8560";"1990-05-15";"Elche CF";"286";"ESP - LaLiga";"4";"2025/2026";"129";"LCB";"Central Defender";"87.81";"14";"0";"9375.93";"106.78";"1263.43";"471.29";"43.71";"162.5";"8.86";"633.79";"52.57";"28.67";"29.76";"102.43";"4.93";"86.86";"11.14";"3.5";"0.72";"0.73";"1.07";"1.41";"1.68";"25.71";"2.02";"2.88";"9610.08";"106.78";"1294.98";"483.06";"44.81";"166.56";"9.08";"649.61";"53.88";"104.99";"5.05";"89.03";"11.42";"3.59";"1.1";"26.36"
"Pierre-Emerick Aubameyang";"P. Aubameyang";"8692";"1989-06-18";"Olympique de Marseille";"80";"FRA - Ligue 1";"3";"2025/2026";"129";"CF";"Center Forward";"85.34";"11";"0";"8914.55";"104.46";"1162.45";"564.09";"62.09";"262.91";"14.18";"827.0";"76.27";"30.85";"31.96";"103.55";"12.09";"86.18";"22.09";"8.64";"0.64";"0.66";"3.09";"1.17";"1.2";"47.0";"1.94";"2.74";"9401.39";"104.46";"1225.94";"594.9";"65.48";"277.27";"14.96";"872.16";"80.44";"109.2";"12.75";"90.89";"23.3";"9.11";"3.26";"49.57"
"Pierre-Emile Højbjerg";"P. Højbjerg";"8693";"1995-08-05";"Olympique de Marseille";"80";"FRA - Ligue 1";"3";"2025/2026";"129";"LDM";"Midfield";"99.52";"9";"0";"10820.89";"108.73";"1668.89";"585.33";"49.33";"132.11";"6.89";"717.44";"56.22";"28.69";"29.74";"121.33";"4.89";"101.22";"15.33";"2.89";"0.71";"0.76";"0.89";"1.46";"1.83";"42.33";"1.97";"2.68";"9785.74";"108.73";"1509.24";"529.34";"44.61";"119.47";"6.23";"648.81";"50.84";"109.73";"4.42";"91.54";"13.87";"2.61";"0.8";"38.28"
"Przemysław Frankowski";"P. Frankowski";"8744";"1995-04-12";"Stade Rennais FC";"79";"FRA - Ligue 1";"3";"2025/2026";"129";"RWB";"Full Back";"84.95";"11";"0";"9990.0";"117.6";"1479.36";"661.18";"63.18";"299.36";"14.82";"960.55";"78.0";"29.75";"30.66";"103.0";"6.82";"92.73";"14.0";"5.45";"0.66";"0.76";"2.27";"1.33";"1.77";"36.36";"1.74";"2.84";"10583.68";"117.6";"1567.28";"700.47";"66.94";"317.15";"15.7";"1017.63";"82.64";"109.12";"7.22";"98.24";"14.83";"5.78";"2.41";"38.52"
"Ramy Bensebaini";"R. Bensebaini";"8863";"1995-04-16";"Borussia Dortmund";"103";"GER - Bundesliga";"6";"2025/2026";"129";"LCB";"Central Defender";"99.74";"9";"0";"10529.33";"105.57";"1272.22";"450.44";"42.33";"125.33";"7.0";"575.78";"49.33";"28.8";"30.06";"115.0";"5.33";"96.78";"14.0";"4.0";"0.74";"0.8";"1.33";"1.37";"2.0";"31.44";"2.19";"2.92";"9500.86";"105.57";"1147.95";"406.45";"38.2";"113.09";"6.32";"519.54";"44.51";"103.77";"4.81";"87.32";"12.63";"3.61";"1.2";"28.37"
"Rani Khedira";"R. Khedira";"8866";"1994-01-27";"FC Union Berlin";"757";"GER - Bundesliga";"6";"2025/2026";"129";"RM";"Midfield";"96.22";"11";"0";"11102.27";"115.39";"1752.36";"642.91";"53.45";"136.0";"7.45";"778.91";"60.91";"27.56";"28.78";"117.82";"3.64";"104.73";"16.45";"3.0";"0.75";"0.79";"0.64";"1.82";"1.82";"44.55";"1.84";"2.78";"10384.78";"115.39";"1639.12";"601.36";"50.0";"127.21";"6.97";"728.57";"56.97";"110.2";"3.4";"97.96";"15.39";"2.81";"0.6";"41.67"
"Raúl Alonso Jiménez Rodríguez";"R. Jiménez";"8891";"1991-05-05";"Fulham";"48";"ENG - Premier League";"1";"2025/2026";"129";"CF";"Center Forward";"90.08";"19";"0";"9139.95";"101.47";"1252.68";"568.89";"57.0";"194.26";"11.58";"763.16";"68.58";"29.13";"30.5";"110.26";"11.47";"92.47";"20.26";"6.95";"0.73";"0.73";"1.68";"1.35";"1.41";"39.84";"1.83";"2.86";"9132.03";"101.47";"1251.6";"568.4";"56.95";"194.09";"11.57";"762.5";"68.52";"110.17";"11.46";"92.39";"20.25";"6.94";"1.68";"39.81"
"Remo Freuler";"R. Freuler";"8919";"1992-04-15";"Bologna";"141";"ITA - Serie A";"5";"2025/2026";"129";"RDM";"Midfield";"88.24";"8";"0";"10938.38";"123.96";"1954.75";"545.12";"41.62";"80.25";"5.0";"625.38";"46.62";"26.01";"26.46";"98.0";"3.0";"86.38";"9.75";"2.12";"0.72";"0.84";"0.5";"null";"null";"39.88";"2.04";"2.83";"11156.6";"123.96";"1993.75";"556.0";"42.46";"81.85";"5.1";"637.85";"47.56";"99.96";"3.06";"88.1";"9.94";"2.17";"0.51";"40.67"
"Ricardo Iván Rodríguez Araya";"R. Rodríguez";"8996";"1992-08-25";"Real Betis Balompié";"269";"ESP - LaLiga";"4";"2025/2026";"129";"LB";"Full Back";"96.47";"10";"0";"9582.8";"99.34";"1206.3";"469.7";"46.7";"143.0";"9.1";"612.7";"55.8";"28.3";"29.04";"116.3";"6.3";"94.4";"19.8";"4.4";"0.77";"0.8";"1.8";"1.44";"1.61";"34.9";"2.02";"2.63";"8940.41";"99.34";"1125.44";"438.21";"43.57";"133.41";"8.49";"571.63";"52.06";"108.5";"5.88";"88.07";"18.47";"4.11";"1.68";"32.56"
"Robert Lewandowski";"R. Lewandowski";"9106";"1988-08-21";"FC Barcelona";"264";"ESP - LaLiga";"4";"2025/2026";"129";"CF";"Center Forward";"87.58";"9";"0";"9057.0";"103.42";"1080.44";"460.78";"43.67";"146.78";"8.0";"607.56";"51.67";"28.78";"29.62";"89.22";"6.78";"72.89";"16.33";"4.44";"0.78";"0.79";"1.44";"1.36";"1.54";"40.67";"2.07";"2.76";"9307.69";"103.42";"1110.35";"473.53";"44.88";"150.84";"8.22";"624.37";"53.1";"91.69";"6.97";"74.91";"16.79";"4.57";"1.48";"41.79"
"Roberto Gagliardini";"R. Gagliardini";"9134";"1994-04-07";"Hellas Verona";"157";"ITA - Serie A";"5";"2025/2026";"129";"DM";"Midfield";"92.15";"11";"0";"11124.55";"120.72";"1934.0";"550.27";"45.73";"77.64";"4.91";"627.91";"50.64";"26.45";"27.64";"117.45";"3.82";"105.09";"13.45";"2.64";"0.77";"0.81";"0.55";"1.65";"null";"43.36";"1.99";"2.78";"10864.64";"120.72";"1888.81";"537.42";"44.66";"75.82";"4.79";"613.24";"49.45";"114.71";"3.73";"102.64";"13.14";"2.57";"0.53";"42.35"
"Rodrigo Hernández Cascante";"Rodri";"9192";"1996-06-22";"Manchester City";"40";"ENG - Premier League";"1";"2025/2026";"129";"DM";"Midfield";"98.56";"8";"0";"12319.62";"125.0";"2440.38";"668.5";"52.88";"124.5";"7.0";"793.0";"59.88";"27.39";"28.02";"120.38";"2.5";"109.25";"9.5";"1.38";"0.71";"null";"0.5";"1.54";"null";"42.75";"1.96";"2.97";"11249.85";"125.0";"2228.46";"610.45";"48.28";"113.69";"6.39";"724.14";"54.68";"109.92";"2.28";"99.76";"8.68";"1.26";"0.46";"39.04"
"Rolando Mandragora";"R. Mandragora";"9226";"1997-06-29";"Fiorentina";"138";"ITA - Serie A";"5";"2025/2026";"129";"RM";"Midfield";"86.26";"14";"0";"9938.0";"115.21";"1673.57";"527.21";"42.21";"88.0";"5.36";"615.21";"47.57";"26.82";"27.98";"102.64";"3.21";"87.5";"12.79";"1.57";"0.82";"0.94";"0.36";"1.78";"null";"31.36";"2.1";"2.93";"10369.23";"115.21";"1746.19";"550.09";"44.05";"91.82";"5.59";"641.91";"49.64";"107.1";"3.35";"91.3";"13.34";"1.64";"0.37";"32.72"
"Ryan McGowan";"R. McGowan";"9419";"1989-08-15";"Livingston FC";"1477";"SCO - Premiership";"18";"2025/2026";"129";"RCB";"Central Defender";"99.13";"8";"0";"9751.0";"98.36";"958.25";"358.75";"38.75";"111.0";"7.0";"469.75";"45.75";"28.93";"29.62";"98.5";"5.75";"79.38";"11.62";"2.88";"0.7";"null";"0.62";"null";"null";"14.62";"2.73";"null";"8852.81";"98.36";"869.98";"325.7";"35.18";"100.78";"6.36";"426.48";"41.54";"89.43";"5.22";"72.06";"10.55";"2.61";"0.57";"13.28"
"Serhou Guirassy";"S. Guirassy";"9700";"1996-03-12";"Borussia Dortmund";"103";"GER - Bundesliga";"6";"2025/2026";"129";"CF";"Center Forward";"91.3";"18";"0";"10067.11";"110.26";"1308.94";"602.06";"60.44";"220.89";"12.61";"822.94";"73.06";"29.27";"30.54";"105.06";"7.44";"87.11";"15.67";"5.39";"0.73";"0.78";"2.11";"1.37";"1.52";"51.11";"1.82";"2.71";"9923.37";"110.26";"1290.25";"593.46";"59.58";"217.73";"12.43";"811.19";"72.01";"103.56";"7.34";"85.87";"15.44";"5.31";"2.08";"50.38"
"Serge  Gnabry";"S. Gnabry";"9724";"1995-07-14";"FC Bayern Munchen";"100";"GER - Bundesliga";"6";"2025/2026";"129";"AM";"Midfield";"75.24";"8";"0";"9319.5";"123.86";"1635.88";"682.75";"57.38";"168.0";"10.38";"850.75";"67.75";"28.24";"29.34";"94.38";"4.25";"82.12";"12.25";"2.88";"0.66";"0.73";"0.62";"1.5";"null";"41.88";"1.98";"2.63";"11147.79";"123.86";"1956.8";"816.69";"68.63";"200.96";"12.41";"1017.65";"81.04";"112.89";"5.08";"98.24";"14.65";"3.44";"0.75";"50.09"
"Sergi Darder Moll";"Sergi Darder";"9732";"1993-12-22";"RCD Mallorca";"258";"ESP - LaLiga";"4";"2025/2026";"129";"AM";"Midfield";"78.89";"8";"0";"8854.12";"112.24";"1384.75";"484.38";"42.0";"88.12";"5.25";"572.5";"47.25";"27.27";"28.02";"92.62";"2.5";"81.62";"9.12";"1.5";"0.75";"0.82";"0.75";"1.67";"null";"33.62";"1.86";"2.75";"10101.63";"112.24";"1579.85";"552.62";"47.92";"100.54";"5.99";"653.16";"53.91";"105.68";"2.85";"93.13";"10.41";"1.71";"0.86";"38.36"
"Simon Murray";"S. Murray";"9871";"1992-03-15";"Dundee FC";"254";"SCO - Premiership";"18";"2025/2026";"129";"CF";"Center Forward";"82.21";"13";"0";"9165.38";"111.48";"1382.46";"644.0";"66.62";"261.15";"15.62";"905.15";"82.23";"29.51";"30.86";"100.0";"9.85";"79.62";"22.85";"7.23";"0.72";"0.73";"2.0";"1.51";"null";"42.92";"1.81";"2.54";"10033.53";"111.48";"1513.41";"705.0";"72.93";"285.89";"17.09";"990.89";"90.02";"109.47";"10.78";"87.16";"25.01";"7.92";"2.19";"46.99"
"Stefan Bell";"S. Bell";"9969";"1991-08-24";"1. FSV Mainz 05";"120";"GER - Bundesliga";"6";"2025/2026";"129";"CB";"Central Defender";"90.37";"9";"0";"9800.56";"108.45";"1157.89";"295.89";"26.56";"71.33";"3.78";"367.22";"30.33";"27.2";"28.16";"108.22";"4.33";"85.44";"10.56";"2.22";"0.84";"0.87";"0.56";"2.02";"null";"22.33";"2.1";"3.13";"9760.79";"108.45";"1153.19";"294.69";"26.45";"71.04";"3.76";"365.73";"30.21";"107.78";"4.32";"85.1";"10.51";"2.21";"0.55";"22.24"
"Stephen Kingsley";"S. Kingsley";"10053";"1994-07-23";"Heart of Midlothian";"242";"SCO - Premiership";"18";"2025/2026";"129";"LB";"Full Back";"87.38";"8";"0";"9552.25";"109.32";"1332.0";"517.38";"45.12";"128.88";"6.75";"646.25";"51.88";"27.41";"28.34";"112.88";"7.38";"90.88";"16.75";"5.0";"0.7";"0.71";"0.62";"1.76";"1.76";"36.88";"1.96";"2.67";"9839.23";"109.32";"1372.02";"532.92";"46.48";"132.75";"6.95";"665.67";"53.43";"116.27";"7.6";"93.61";"17.25";"5.15";"0.64";"37.98"
"Steve Cook";"S. Cook";"10067";"1991-04-19";"Queens Park Rangers";"56";"ENG - Championship";"31";"2025/2026";"129";"LCB";"Central Defender";"99.43";"19";"0";"9932.58";"99.9";"1185.58";"378.58";"33.58";"94.89";"5.26";"473.47";"38.84";"27.75";"29.7";"108.58";"4.79";"83.53";"10.74";"2.95";"0.71";"0.74";"0.47";"1.49";"null";"15.47";"2.07";"3.23";"8990.98";"99.9";"1073.19";"342.69";"30.4";"85.9";"4.76";"428.59";"35.16";"98.29";"4.34";"75.61";"9.72";"2.67";"0.43";"14.01"
"Stevie May";"S. May";"10125";"1992-11-03";"Livingston FC";"1477";"SCO - Premiership";"18";"2025/2026";"129";"LW";"Wide Attacker";"73.55";"9";"0";"9234.67";"125.56";"1553.67";"719.11";"66.78";"286.11";"14.89";"1005.22";"81.67";"30.37";"31.04";"94.22";"6.56";"76.0";"14.67";"4.11";"0.76";"0.81";"1.33";"1.47";"1.74";"40.89";"2.09";"2.66";"11300.35";"125.56";"1901.2";"879.97";"81.72";"350.11";"18.22";"1230.08";"99.93";"115.3";"8.02";"93.0";"17.95";"5.03";"1.63";"50.04"
"Stuart Findlay";"S. Findlay";"10151";"1995-09-14";"Heart of Midlothian";"242";"SCO - Premiership";"18";"2025/2026";"129";"LCB";"Central Defender";"96.74";"25";"0";"9245.72";"95.57";"932.48";"291.2";"29.64";"79.92";"4.6";"371.12";"34.24";"28.42";"31.5";"101.12";"4.8";"75.16";"9.52";"2.8";"0.65";"0.81";"0.84";"1.33";"1.51";"20.2";"2.01";"2.79";"8601.26";"95.57";"867.48";"270.9";"27.57";"74.35";"4.28";"345.25";"31.85";"94.07";"4.47";"69.92";"8.86";"2.6";"0.78";"18.79"
"Thomas Meunier";"T. Meunier";"10307";"1991-09-12";"LOSC Lille";"78";"FRA - Ligue 1";"3";"2025/2026";"129";"RB";"Full Back";"95.08";"13";"0";"11739.15";"123.47";"1748.54";"838.46";"79.69";"366.23";"19.08";"1204.69";"98.77";"29.63";"30.74";"121.0";"6.92";"100.54";"16.77";"5.31";"0.67";"0.77";"1.85";"1.39";"1.43";"42.92";"2.06";"2.6";"11112.31";"123.47";"1655.17";"793.69";"75.44";"346.67";"18.06";"1140.36";"93.5";"114.54";"6.55";"95.17";"15.87";"5.02";"1.75";"40.63"
"Valentin Rongier";"V. Rongier";"10619";"1994-12-07";"Stade Rennais FC";"79";"FRA - Ligue 1";"3";"2025/2026";"129";"DM";"Midfield";"99.06";"13";"0";"12606.15";"127.25";"2429.69";"727.23";"60.15";"113.54";"8.15";"840.77";"68.31";"26.52";"27.6";"113.77";"3.15";"99.46";"12.23";"2.0";"0.77";"0.81";"0.31";"null";"null";"47.69";"1.94";"2.65";"11452.72";"127.25";"2207.38";"660.69";"54.65";"103.15";"7.41";"763.84";"62.06";"103.36";"2.87";"90.36";"11.11";"1.82";"0.28";"43.33"
"Vincenzo Grifo";"V. Grifo";"10729";"1993-04-07";"SC Freiburg";"118";"GER - Bundesliga";"6";"2025/2026";"129";"LW";"Wide Attacker";"75.26";"11";"0";"9042.82";"120.16";"1535.64";"689.55";"56.27";"176.36";"9.91";"865.91";"66.18";"28.34";"29.42";"99.09";"5.73";"79.64";"15.82";"4.45";"0.73";"0.87";"1.45";"1.37";"null";"35.82";"2.07";"2.82";"10814.24";"120.16";"1836.46";"824.62";"67.3";"210.91";"11.85";"1035.53";"79.15";"118.5";"6.85";"95.24";"18.92";"5.33";"1.74";"42.83"
"Virgil van Dijk";"V. van Dijk";"10738";"1991-07-08";"Liverpool Football Club";"2";"ENG - Premier League";"1";"2025/2026";"129";"LCB";"Central Defender";"101.72";"24";"0";"9134.5";"89.8";"1030.21";"359.17";"34.79";"118.75";"6.38";"477.92";"41.17";"29.51";"32.02";"104.17";"6.71";"81.92";"12.38";"4.54";"0.61";"0.65";"1.71";"1.26";"1.44";"18.67";"2.23";"2.91";"8081.7";"89.8";"911.47";"317.77";"30.78";"105.06";"5.64";"422.83";"36.42";"92.16";"5.94";"72.48";"10.95";"4.02";"1.51";"16.52"
"Waldemar Anton";"W. Anton";"10788";"1996-07-20";"Borussia Dortmund";"103";"GER - Bundesliga";"6";"2025/2026";"129";"CB";"Central Defender";"99.63";"13";"0";"11351.23";"113.93";"1648.69";"562.62";"53.54";"183.92";"10.92";"746.54";"64.46";"28.37";"29.96";"125.77";"6.38";"97.62";"13.46";"4.77";"0.65";"0.68";"1.31";"1.52";"1.55";"38.85";"1.89";"2.64";"10253.7";"113.93";"1489.28";"508.22";"48.36";"166.14";"9.87";"674.36";"58.23";"113.61";"5.77";"88.18";"12.16";"4.31";"1.18";"35.09"
"Wesley Saïd";"W. Saïd";"10832";"1995-04-19";"RC Lens";"85";"FRA - Ligue 1";"3";"2025/2026";"129";"AM";"Midfield";"82.75";"10";"0";"9054.5";"109.42";"1365.8";"604.4";"59.7";"165.5";"9.1";"769.9";"68.8";"28.5";"29.5";"109.2";"6.7";"96.2";"15.5";"4.8";"0.63";"0.68";"1.3";"1.27";"1.65";"35.2";"2.13";"2.96";"9848.19";"109.42";"1485.52";"657.38";"64.93";"180.01";"9.9";"837.39";"74.83";"118.77";"7.29";"104.63";"16.86";"5.22";"1.41";"38.29"
"Willi Orbán";"W. Orbán";"10853";"1992-11-03";"RB Leipzig";"312";"GER - Bundesliga";"6";"2025/2026";"129";"RCB";"Central Defender";"97.71";"21";"0";"10568.19";"108.16";"1309.05";"405.14";"38.62";"97.67";"6.14";"502.81";"44.76";"28.04";"29.48";"111.9";"5.86";"91.52";"12.14";"4.0";"0.66";"0.69";"1.38";"1.33";"1.36";"29.05";"2.04";"2.71";"9734.49";"108.16";"1205.78";"373.18";"35.57";"89.96";"5.66";"463.14";"41.23";"103.08";"5.4";"84.3";"11.18";"3.68";"1.27";"26.76"
"Youssef El-Arabi";"Y. El-Arabi";"11044";"1987-02-03";"FC Nantes";"66";"FRA - Ligue 1";"3";"2025/2026";"129";"CF";"Center Forward";"72.51";"9";"0";"8178.0";"112.78";"1125.33";"529.22";"53.67";"178.22";"10.78";"707.44";"64.44";"28.7";"29.18";"94.11";"8.11";"70.33";"21.22";"4.56";"0.73";"0.73";"1.67";"1.54";"1.58";"42.33";"1.82";"2.93";"10150.19";"112.78";"1396.72";"656.85";"66.61";"221.2";"13.38";"878.05";"79.99";"116.81";"10.07";"87.29";"26.34";"5.65";"2.07";"52.54"
"Yuri Berchiche Izeta";"Yuri Berchiche";"11058";"1990-02-10";"Athletic Club de Bilbao";"273";"ESP - LaLiga";"4";"2025/2026";"129";"LB";"Full Back";"99.75";"16";"0";"10696.25";"107.23";"1355.94";"641.06";"65.38";"270.56";"14.81";"911.62";"80.19";"29.99";"30.86";"113.62";"8.88";"96.0";"21.31";"6.44";"0.66";"0.66";"2.31";"1.22";"1.3";"41.88";"1.92";"2.53";"9650.65";"107.23";"1223.39";"578.4";"58.98";"244.11";"13.36";"822.51";"72.35";"102.52";"8.01";"86.62";"19.23";"5.81";"2.09";"37.78"
"Malang Sarr";"M. Sarr";"11169";"1999-01-23";"RC Lens";"85";"FRA - Ligue 1";"3";"2025/2026";"129";"LCB";"Central Defender";"99.84";"14";"0";"10379.93";"103.97";"1295.14";"481.57";"46.0";"146.79";"8.93";"628.36";"54.93";"28.74";"30.64";"106.57";"5.36";"81.29";"14.14";"4.43";"0.62";"0.66";"0.79";"1.34";"1.37";"30.57";"1.96";"2.78";"9357.09";"103.97";"1167.52";"434.12";"41.47";"132.32";"8.05";"566.44";"49.52";"96.07";"4.83";"73.28";"12.75";"3.99";"0.71";"27.56"
"Maxime López";"M. López";"11170";"1997-12-04";"Paris FC";"327";"FRA - Ligue 1";"3";"2025/2026";"129";"RM";"Midfield";"99.63";"13";"0";"12208.92";"122.54";"2206.31";"662.38";"58.23";"118.15";"7.38";"780.54";"65.62";"26.99";"28.1";"132.77";"4.92";"105.69";"16.31";"2.69";"0.71";"0.71";"0.54";"1.68";"null";"52.08";"1.92";"2.76";"11029.04";"122.54";"1993.09";"598.37";"52.6";"106.74";"6.67";"705.11";"59.27";"119.94";"4.45";"95.48";"14.73";"2.43";"0.49";"47.04"
"Stanislav Lobotka";"S. Lobotka";"11208";"1994-11-25";"Napoli";"143";"ITA - Serie A";"5";"2025/2026";"129";"RM";"Midfield";"98.27";"12";"0";"12168.33";"123.82";"2296.08";"588.33";"45.33";"74.67";"4.5";"663.0";"49.83";"25.99";"27.18";"122.0";"4.17";"107.42";"11.17";"3.25";"0.68";"0.69";"1.08";"1.49";"1.72";"49.17";"2.12";"2.76";"11143.89";"123.82";"2102.78";"538.8";"41.52";"68.38";"4.12";"607.18";"45.64";"111.73";"3.82";"98.37";"10.23";"2.98";"0.99";"45.03"
"Moussa Niakhaté";"M. Niakhaté";"11212";"1996-03-08";"Olympique Lyonnais";"73";"FRA - Ligue 1";"3";"2025/2026";"129";"LCB";"Central Defender";"100.7";"12";"0";"10429.75";"103.57";"1252.67";"397.42";"36.58";"82.25";"6.0";"479.67";"42.58";"28.09";"28.98";"116.0";"5.92";"87.33";"12.75";"4.17";"0.71";"0.93";"0.83";"1.4";"1.99";"21.58";"2.24";"2.7";"9321.65";"103.57";"1119.58";"355.19";"32.7";"73.51";"5.36";"428.71";"38.06";"103.68";"5.29";"78.05";"11.4";"3.72";"0.74";"19.29"
"Marcus Thuram-Ulien";"M. Thuram";"11230";"1997-08-06";"Inter Milan";"145";"ITA - Serie A";"5";"2025/2026";"129";"CF";"Center Forward";"81.39";"12";"0";"8736.67";"107.35";"1228.67";"593.83";"57.75";"212.67";"11.33";"806.5";"69.08";"29.68";"30.6";"94.67";"9.0";"79.0";"15.75";"6.33";"0.71";"0.72";"1.5";"1.33";"1.44";"40.67";"1.88";"2.79";"9661.19";"107.35";"1358.69";"656.67";"63.86";"235.17";"12.53";"891.84";"76.39";"104.68";"9.95";"87.36";"17.42";"7.0";"1.66";"44.97"
